Media URL,violation
https://video.twimg.com/ext_tw_video/1411466265529622529/pu/vid/1280x720/AhY9pnc4yxzKy8b-.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1408908813164548098/pu/vid/1280x720/yGpTb5ViSvRDWmbM.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1407775615940444174/pu/vid/1280x720/4lv6p0EHRBcYE60_.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1407673982233497606/pu/vid/1280x720/hvojngllMnFaK1Np.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1407662746343297031/pu/vid/1280x720/9Dr6fqaG6tbKVYEp.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1406353882016628744/pu/vid/1280x720/ac-3hCQIf-poU0KG.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1406219256237375490/pu/vid/640x352/h9lJeyJ9LKIaYkSO.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1404824196853555208/pu/vid/1280x720/qLlhqy3tYUIQc9Nf.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1404036252123422720/pu/vid/1280x720/-tzQq_aqkcy9PTEj.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1403108220302921731/pu/vid/1280x720/Cb-dJv4Qi7ybseON.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1402569449178288129/pu/vid/1280x720/fuv0dQCQSYHOJyPf.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1402242437712650243/pu/vid/1280x720/YTOMireCOf3MAQrD.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1401938340925087753/pu/vid/1280x720/4To6FMitjQWjhgGO.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1400802493467140102/pu/vid/478x302/ukqdBXv5ljv5muzo.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1399725463828942850/pu/vid/1280x720/pJ5y6F5qZTegTWlo.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1399659472935657475/pu/vid/1280x720/RXeUhc1aepqJyYLo.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1399658652043259910/pu/vid/1280x720/P3BvxL3Sa9tUXZsv.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1399657583636619265/pu/vid/1280x720/PKcpc2tb4U7WMo2o.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1399103418959122439/pu/vid/1280x720/uY6-NBkQxLIW6cFp.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1399078696770756619/pu/vid/1280x720/l97F_c7pTxm0BEbk.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1398971958843281408/pu/vid/1280x720/KL9OpUHsULRp9dT5.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1398564450521829378/pu/vid/1280x720/AqfEDsphdjjiS5-r.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1398564130504728576/pu/vid/1280x720/1iVYZpYdJBvmxEiP.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1398320551609999367/pu/vid/1280x608/bU8upOpJNwWuIcke.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1397350101048246275/pu/vid/990x720/WVodKRletmY_urYA.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1395512099259002880/pu/vid/1280x720/9bDjqtI3Qc8u0G_m.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1395397637063458817/pu/vid/1280x650/oj1yzSpuc5IE2sVw.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1395370806721581059/pu/vid/1280x720/flxj_-0BzDanbrEo.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1394628797090172928/pu/vid/1280x720/BReWodK4-DY1F6qi.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1394315588072316929/pu/vid/1280x720/kyB0TRjZ9Zm2p0jM.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1394074779897024512/pu/vid/1280x720/2IguYPWAylvlpZki.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1392222802481123331/pu/vid/1280x704/4gq0yhfTk-OVhuyz.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1390918545769484290/pu/vid/1280x720/Bo_Z_MgCo8gly6KR.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1390803620325625860/pu/vid/1280x720/5Vfx9tkdENM6DYvt.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1390603356612218883/pu/vid/1280x720/dIRiQ9CllTUydOqu.mp4?tag=12,1
https://video.twimg.com/ext_tw_video/1390460695511248899/pu/vid/1280x720/PqiS7gyqgxp3BtHc.mp4?tag=12,1
